issue_key,issuetype,created,reporter,sp_estimator,reporter_bugnum,reporter_recent_bugnum,reporter_stable_sp_rate,assignee_bugnum,assignee_recent_bugnum,assignee_stable_sp_rate
MESOS-9615,Task,2019-02-27T18:37:07.000+0000,greggomann,greggomann,83,7,0.941176471,13,1,0.857142857
MESOS-9613,Improvement,2019-02-26T21:54:12.000+0000,gilbert,gilbert,58,3,0.951612903,29,1,0.9
MESOS-9612,Bug,2019-02-26T17:14:35.000+0000,bbannier,bbannier,55,4,0.966666667,37,0,0.921052632
MESOS-9610,Bug,2019-02-26T02:05:09.000+0000,mderela,mderela,0,0,1,72,2,0.945945946
MESOS-9608,Improvement,2019-02-25T22:05:22.000+0000,mzhu,mzhu,22,7,0.884615385,0,0,0
MESOS-9607,Bug,2019-02-25T16:38:20.000+0000,bbannier,bbannier,54,3,0.966666667,101,11,0.736363636
MESOS-9605,Bug,2019-02-23T02:30:22.000+0000,tillt,tillt,21,1,0.863636364,22,1,0.869565217
MESOS-9604,Task,2019-02-22T19:54:25.000+0000,mzhu,mzhu,21,6,0.884615385,21,3,0.869565217
MESOS-9597,Bug,2019-02-22T01:55:28.000+0000,gkleiman,gkleiman,38,7,0.948717949,33,5,0.941176471
MESOS-9596,Task,2019-02-22T01:37:06.000+0000,mzhu,mzhu,20,5,0.884615385,20,2,0.869565217
MESOS-9581,Bug,2019-02-16T02:51:16.000+0000,tillt,tillt,20,0,0.863636364,21,0,0.869565217
MESOS-9574,Bug,2019-02-13T22:48:46.000+0000,gkleiman,gkleiman,37,6,0.948717949,32,4,0.941176471
MESOS-9573,Bug,2019-02-13T22:44:42.000+0000,gkleiman,gkleiman,36,5,0.948717949,31,3,0.941176471
MESOS-9571,Task,2019-02-13T20:08:27.000+0000,greggomann,greggomann,82,6,0.941176471,68,2,0.928571429
MESOS-9570,Task,2019-02-13T18:14:46.000+0000,greggomann,greggomann,81,5,0.941176471,30,2,0.941176471
MESOS-9568,Bug,2019-02-13T01:37:24.000+0000,chhsia0,chhsia0,90,8,0.754901961,100,11,0.736363636
MESOS-9564,Bug,2019-02-12T01:19:31.000+0000,kaysoky,kaysoky,66,0,0.955882353,2,0,1
MESOS-9559,Bug,2019-02-06T21:57:24.000+0000,gkleiman,gkleiman,35,4,0.948717949,29,1,0.941176471
MESOS-9557,Bug,2019-02-06T18:12:33.000+0000,greggomann,greggomann,80,4,0.941176471,71,1,0.945945946
MESOS-9555,Bug,2019-02-05T22:26:56.000+0000,fluxx,fluxx,0,0,1,35,1,0.945945946
MESOS-9549,Bug,2019-02-01T22:44:58.000+0000,jieyu,jieyu,109,1,0.890909091,99,10,0.736363636
MESOS-9544,Bug,2019-01-31T02:29:37.000+0000,chhsia0,chhsia0,89,7,0.754901961,98,9,0.736363636
MESOS-9542,Bug,2019-01-29T12:09:39.000+0000,bbannier,bbannier,53,3,0.966666667,70,0,0.945945946
MESOS-9540,Improvement,2019-01-28T20:09:54.000+0000,chhsia0,chhsia0,88,7,0.754901961,97,9,0.736363636
MESOS-9538,Task,2019-01-25T22:38:25.000+0000,gkleiman,gkleiman,34,3,0.948717949,0,0,0
MESOS-9537,Bug,2019-01-25T20:21:43.000+0000,chhsia0,chhsia0,87,6,0.754901961,96,8,0.736363636
MESOS-9535,Task,2019-01-23T17:44:21.000+0000,greggomann,greggomann,79,3,0.941176471,67,1,0.928571429
MESOS-9533,Bug,2019-01-23T01:00:40.000+0000,gilbert,gilbert,57,2,0.951612903,61,1,0.952380952
MESOS-9532,Bug,2019-01-22T22:21:50.000+0000,gilbert,gilbert,56,1,0.951612903,60,0,0.952380952
MESOS-9525,Task,2019-01-16T18:17:58.000+0000,greggomann,greggomann,78,2,0.941176471,0,0,0
MESOS-9523,Improvement,2019-01-15T17:21:12.000+0000,mzhu,mzhu,19,5,0.884615385,60,5,0.984375
MESOS-9519,Bug,2019-01-10T23:52:17.000+0000,chhsia0,chhsia0,86,6,0.754901961,95,8,0.736363636
MESOS-9517,Bug,2019-01-09T16:49:01.000+0000,jdef,jdef,3,0,0.5,94,7,0.736363636
MESOS-9510,Improvement,2019-01-07T04:48:06.000+0000,mzhu,mzhu,18,6,0.884615385,19,3,0.869565217
MESOS-9508,Bug,2019-01-03T07:50:52.000+0000,makkesham,makkesham,0,0,1,93,6,0.736363636
MESOS-9507,Bug,2019-01-02T22:17:22.000+0000,gilbert,gilbert,55,1,0.951612903,6,0,1
MESOS-9506,Bug,2019-01-02T16:30:11.000+0000,bennoe,bennoe,7,0,0.888888889,0,0,0
MESOS-9505,Bug,2019-01-02T07:03:37.000+0000,jieyu,jieyu,108,0,0.890909091,92,5,0.736363636
MESOS-9504,Improvement,2018-12-31T18:53:19.000+0000,mzhu,mzhu,17,5,0.884615385,18,2,0.869565217
MESOS-9502,Bug,2018-12-28T06:17:31.000+0000,mzhu,mzhu,16,4,0.884615385,28,3,0.9
MESOS-9501,Bug,2018-12-27T01:51:15.000+0000,mzhu,mzhu,15,3,0.884615385,35,1,0.846153846
MESOS-9495,Bug,2018-12-20T22:17:38.000+0000,chhsia0,chhsia0,85,6,0.754901961,34,1,0.945945946
MESOS-9486,Improvement,2018-12-18T06:03:17.000+0000,chhsia0,chhsia0,84,5,0.754901961,91,6,0.736363636
MESOS-9480,Bug,2018-12-14T18:59:05.000+0000,chhsia0,chhsia0,83,4,0.754901961,0,0,0
MESOS-9479,Bug,2018-12-14T14:00:02.000+0000,bbannier,bbannier,52,4,0.966666667,59,5,0.984375
MESOS-9477,Task,2018-12-13T18:42:16.000+0000,greggomann,greggomann,77,1,0.941176471,66,2,0.928571429
MESOS-9474,Bug,2018-12-12T20:10:47.000+0000,chhsia0,chhsia0,82,3,0.754901961,90,5,0.736363636
MESOS-9473,Task,2018-12-11T22:24:17.000+0000,gkleiman,gkleiman,33,6,0.948717949,28,0,0.941176471
MESOS-9472,Task,2018-12-11T22:23:04.000+0000,gkleiman,gkleiman,32,5,0.948717949,12,1,0.857142857
MESOS-9471,Task,2018-12-11T22:19:52.000+0000,gkleiman,gkleiman,31,4,0.948717949,0,0,0
MESOS-9469,Bug,2018-12-11T12:59:31.000+0000,bbannier,bbannier,51,3,0.966666667,58,4,0.984375
MESOS-9434,Bug,2018-12-01T03:47:51.000+0000,greggomann,greggomann,76,0,0.941176471,57,3,0.984375
MESOS-9419,Bug,2018-11-26T23:21:23.000+0000,bmahler,bmahler,53,0,0.925925926,89,6,0.736363636
MESOS-9411,Bug,2018-11-21T13:46:03.000+0000,arojas,arojas,13,0,0.857142857,15,0,0.875
MESOS-9409,Task,2018-11-20T17:11:26.000+0000,abudnik,abudnik,19,3,0.85,27,3,0.9
MESOS-9396,Task,2018-11-16T12:50:44.000+0000,armandgrillet,armandgrillet,10,2,1,17,2,1
MESOS-9392,Task,2018-11-15T15:26:29.000+0000,abudnik,abudnik,18,2,0.85,26,2,0.9
MESOS-9384,Improvement,2018-11-13T09:49:01.000+0000,bbannier,bbannier,50,3,0.966666667,56,3,0.984375
MESOS-9366,Bug,2018-11-01T03:10:16.000+0000,chhsia0,chhsia0,81,6,0.754901961,88,8,0.736363636
MESOS-9362,Bug,2018-10-29T22:49:03.000+0000,abudnik,abudnik,17,1,0.85,25,1,0.9
MESOS-9358,Bug,2018-10-26T23:34:47.000+0000,mzhu,mzhu,14,5,0.884615385,11,3,0.857142857
MESOS-9357,Bug,2018-10-25T21:35:25.000+0000,bbannier,bbannier,49,2,0.966666667,69,1,0.945945946
MESOS-9356,Task,2018-10-25T16:54:14.000+0000,gkleiman,gkleiman,30,3,0.948717949,0,0,0
MESOS-9334,Bug,2018-10-19T10:02:09.000+0000,qianzhang,qianzhang,21,2,0.875,34,1,0.846153846
MESOS-9333,Task,2018-10-18T17:10:41.000+0000,armandgrillet,armandgrillet,9,1,1,16,1,1
MESOS-9332,Bug,2018-10-18T08:30:57.000+0000,qianzhang,qianzhang,20,1,0.875,0,0,0
MESOS-9331,Bug,2018-10-17T20:44:44.000+0000,bbannier,bbannier,48,1,0.966666667,55,3,0.984375
MESOS-9325,Bug,2018-10-16T23:12:26.000+0000,mzhu,mzhu,13,6,0.884615385,17,6,0.869565217
MESOS-9324,Bug,2018-10-16T21:52:35.000+0000,mzhu,mzhu,12,5,0.884615385,16,5,0.869565217
MESOS-9321,Task,2018-10-16T04:40:50.000+0000,chhsia0,chhsia0,80,6,0.754901961,87,8,0.736363636
MESOS-9318,Task,2018-10-15T20:38:52.000+0000,gkleiman,gkleiman,29,2,0.948717949,65,4,0.928571429
MESOS-9317,Bug,2018-10-15T13:03:47.000+0000,alexr,alexr,93,6,0.936170213,0,0,0
MESOS-9315,Improvement,2018-10-15T09:00:54.000+0000,clems4ever,clems4ever,0,0,1,0,0,1
MESOS-9305,Improvement,2018-10-10T02:55:12.000+0000,carlone,carlone,0,0,1,0,0,1
MESOS-9295,Bug,2018-10-05T00:35:49.000+0000,gilbert,gilbert,54,2,0.951612903,59,0,0.952380952
MESOS-9293,Bug,2018-10-04T17:56:01.000+0000,jdef,jdef,2,0,0.5,54,2,0.984375
MESOS-9292,Improvement,2018-10-04T15:23:01.000+0000,bennoe,bennoe,6,0,0.888888889,33,1,0.945945946
MESOS-9283,Bug,2018-10-02T05:51:58.000+0000,jieyu,jieyu,107,2,0.890909091,64,3,0.928571429
MESOS-9281,Bug,2018-10-01T22:05:41.000+0000,chhsia0,chhsia0,79,7,0.754901961,86,9,0.736363636
MESOS-9278,Task,2018-09-28T22:27:48.000+0000,gkleiman,gkleiman,28,1,0.948717949,3,0,0.6
MESOS-9275,Task,2018-09-27T19:17:53.000+0000,jieyu,jieyu,106,1,0.890909091,85,8,0.736363636
MESOS-9274,Bug,2018-09-27T14:22:39.000+0000,alexr,alexr,92,5,0.936170213,64,1,0.923076923
MESOS-9270,Task,2018-09-27T00:00:20.000+0000,urbanserj,urbanserj,0,0,1,0,0,1
MESOS-9265,Task,2018-09-26T13:34:58.000+0000,tillt,tillt,19,3,0.863636364,20,3,0.869565217
MESOS-9258,Improvement,2018-09-26T00:13:40.000+0000,gkleiman,gkleiman,27,0,0.948717949,68,1,0.945945946
MESOS-9231,Bug,2018-09-13T23:35:32.000+0000,qianzhang,qianzhang,19,2,0.875,33,3,0.846153846
MESOS-9228,Bug,2018-09-12T21:00:48.000+0000,chhsia0,chhsia0,78,9,0.754901961,84,9,0.736363636
MESOS-9225,Bug,2018-09-10T14:51:21.000+0000,tillt,tillt,18,2,0.863636364,19,2,0.869565217
MESOS-9224,Improvement,2018-09-10T13:46:18.000+0000,alexr,alexr,91,4,0.936170213,10,2,0.857142857
MESOS-9222,Bug,2018-09-09T17:01:17.000+0000,tillt,tillt,17,1,0.863636364,18,1,0.869565217
MESOS-9210,Bug,2018-09-05T21:17:23.000+0000,vinodkone,vinodkone,111,0,0.901785714,17,0,0.869565217
MESOS-9193,Bug,2018-08-30T04:36:33.000+0000,chhsia0,chhsia0,77,9,0.754901961,83,9,0.736363636
MESOS-9187,Bug,2018-08-28T19:44:22.000+0000,karya,karya,32,1,0.939393939,32,1,0.939393939
MESOS-9185,Bug,2018-08-27T15:11:52.000+0000,abudnik,abudnik,16,6,0.85,24,6,0.9
MESOS-9179,Bug,2018-08-23T08:13:44.000+0000,armandgrillet,armandgrillet,8,1,1,15,1,1
MESOS-9177,Bug,2018-08-22T14:34:22.000+0000,alexr,alexr,90,4,0.936170213,9,2,0.857142857
MESOS-9170,Bug,2018-08-21T12:51:51.000+0000,karya,karya,31,0,0.939393939,31,0,0.939393939
MESOS-9164,Bug,2018-08-17T18:01:10.000+0000,jamespeach,jamespeach,6,1,1,0,0,1
MESOS-9163,Bug,2018-08-17T17:16:25.000+0000,chhsia0,chhsia0,76,9,0.754901961,82,9,0.736363636
MESOS-9158,Improvement,2018-08-16T16:20:16.000+0000,alexr,alexr,89,4,0.936170213,8,1,0.857142857
MESOS-9156,Bug,2018-08-15T12:35:11.000+0000,bbannier,bbannier,47,1,0.966666667,53,2,0.984375
MESOS-9154,Bug,2018-08-14T16:05:41.000+0000,greggomann,greggomann,75,2,0.941176471,0,0,0
MESOS-9151,Bug,2018-08-10T22:41:18.000+0000,gilbert,gilbert,53,4,0.951612903,0,0,0
MESOS-9149,Bug,2018-08-10T21:34:47.000+0000,chhsia0,chhsia0,75,9,0.754901961,81,9,0.736363636
MESOS-9147,Bug,2018-08-10T00:44:34.000+0000,mzhu,mzhu,11,8,0.884615385,15,7,0.869565217
MESOS-9146,Bug,2018-08-09T18:42:46.000+0000,mzhu,mzhu,10,7,0.884615385,14,6,0.869565217
MESOS-9144,Bug,2018-08-09T17:24:40.000+0000,mzhu,mzhu,9,6,0.884615385,32,1,0.945945946
MESOS-9143,Bug,2018-08-09T14:26:53.000+0000,alexr,alexr,88,3,0.936170213,13,5,0.869565217
MESOS-9137,Bug,2018-08-06T17:12:20.000+0000,jamespeach,jamespeach,5,1,1,80,9,0.736363636
MESOS-9130,Bug,2018-08-02T22:55:53.000+0000,chhsia0,chhsia0,74,9,0.754901961,52,3,0.984375
MESOS-9129,Improvement,2018-08-02T01:12:56.000+0000,greggomann,greggomann,74,2,0.941176471,63,3,0.928571429
MESOS-9125,Bug,2018-08-01T19:04:29.000+0000,jieyu,jieyu,105,1,0.890909091,62,2,0.928571429
MESOS-9124,Bug,2018-07-31T18:04:24.000+0000,greggomann,greggomann,73,1,0.941176471,61,1,0.928571429
MESOS-9122,Improvement,2018-07-31T13:25:14.000+0000,alexr,alexr,87,2,0.936170213,63,1,0.923076923
MESOS-9106,Task,2018-07-23T13:42:41.000+0000,abudnik,abudnik,15,6,0.85,23,6,0.9
MESOS-9105,Task,2018-07-23T13:07:03.000+0000,abudnik,abudnik,14,5,0.85,22,5,0.9
MESOS-9104,Improvement,2018-07-20T23:21:50.000+0000,mzhu,mzhu,8,6,0.884615385,12,5,0.869565217
MESOS-9099,Task,2018-07-20T19:04:22.000+0000,mzhu,mzhu,7,5,0.884615385,11,4,0.869565217
MESOS-9094,Bug,2018-07-19T07:31:58.000+0000,nfnt,nfnt,34,2,0.888888889,36,2,0.921052632
MESOS-9089,Bug,2018-07-18T20:21:06.000+0000,mzhu,mzhu,6,4,0.884615385,79,10,0.736363636
MESOS-9086,Improvement,2018-07-18T17:57:40.000+0000,mzhu,mzhu,5,3,0.884615385,10,3,0.869565217
MESOS-9070,Task,2018-07-11T21:35:54.000+0000,gilbert,gilbert,52,3,0.951612903,32,6,0.846153846
MESOS-9066,Task,2018-07-10T03:18:35.000+0000,chhsia0,chhsia0,73,15,0.754901961,78,12,0.736363636
MESOS-9056,Bug,2018-07-08T00:36:03.000+0000,tillt,tillt,16,0,0.863636364,14,1,1
MESOS-9055,Improvement,2018-07-06T23:08:16.000+0000,chhsia0,chhsia0,72,14,0.754901961,77,11,0.736363636
MESOS-9049,Bug,2018-07-03T20:08:31.000+0000,chhsia0,chhsia0,71,13,0.754901961,7,0,1
MESOS-9039,Bug,2018-06-29T01:40:49.000+0000,qianzhang,qianzhang,18,5,0.875,31,5,0.846153846
MESOS-9038,Bug,2018-06-28T23:36:16.000+0000,kaysoky,kaysoky,65,0,0.955882353,67,1,0.945945946
MESOS-9035,Task,2018-06-28T16:30:34.000+0000,abudnik,abudnik,13,4,0.85,21,4,0.9
MESOS-9034,Task,2018-06-28T15:37:56.000+0000,abudnik,abudnik,12,3,0.85,20,3,0.9
MESOS-9033,Task,2018-06-28T15:02:24.000+0000,abudnik,abudnik,11,2,0.85,19,2,0.9
MESOS-9032,Task,2018-06-28T14:48:22.000+0000,abudnik,abudnik,10,1,0.85,18,1,0.9
MESOS-9027,Bug,2018-06-25T22:23:22.000+0000,gilbert,gilbert,51,3,0.951612903,30,4,0.846153846
MESOS-9025,Bug,2018-06-24T03:13:09.000+0000,qianzhang,qianzhang,17,4,0.875,74,0,0.92
MESOS-9015,Improvement,2018-06-21T01:03:47.000+0000,chhsia0,chhsia0,70,13,0.754901961,76,11,0.736363636
MESOS-9014,Bug,2018-06-20T22:07:22.000+0000,mzhu,mzhu,4,3,0.884615385,9,3,0.869565217
MESOS-9010,Bug,2018-06-20T03:09:46.000+0000,chhsia0,chhsia0,69,12,0.754901961,75,11,0.736363636
MESOS-9009,Task,2018-06-19T18:51:44.000+0000,jasonlai,jasonlai,1,0,0.5,0,0,1
MESOS-9008,Bug,2018-06-19T16:49:05.000+0000,bbannier,bbannier,46,12,0.966666667,66,0,0.945945946
MESOS-8995,Task,2018-06-14T20:03:35.000+0000,chhsia0,chhsia0,68,14,0.754901961,74,13,0.736363636
MESOS-8989,Improvement,2018-06-13T23:16:06.000+0000,mzhu,mzhu,3,2,0.884615385,8,2,0.869565217
MESOS-8987,Bug,2018-06-12T22:46:00.000+0000,gkleiman,gkleiman,26,4,0.948717949,27,3,0.941176471
MESOS-8985,Bug,2018-06-07T23:02:58.000+0000,philipnrmn,philipnrmn,0,0,1,7,1,0.857142857
MESOS-8975,Task,2018-06-04T14:10:28.000+0000,alexr,alexr,86,1,0.936170213,3,0,1
MESOS-8963,Bug,2018-05-28T15:58:02.000+0000,bennoe,bennoe,5,2,0.888888889,0,0,0
MESOS-8961,Task,2018-05-28T10:48:57.000+0000,arojas,arojas,12,0,0.857142857,14,0,0.875
MESOS-8957,Task,2018-05-25T15:32:15.000+0000,armandgrillet,armandgrillet,7,0,1,0,0,1
MESOS-8947,Improvement,2018-05-24T01:10:13.000+0000,gilbert,gilbert,50,2,0.951612903,58,1,0.952380952
MESOS-8945,Bug,2018-05-23T18:29:02.000+0000,jieyu,jieyu,104,0,0.890909091,51,11,0.984375
MESOS-8943,Task,2018-05-22T23:12:18.000+0000,chhsia0,chhsia0,67,20,0.754901961,73,18,0.736363636
MESOS-8942,Task,2018-05-22T20:57:02.000+0000,alexr,alexr,85,0,0.936170213,62,0,0.923076923
MESOS-8936,Task,2018-05-19T00:46:39.000+0000,vinodkone,vinodkone,110,6,0.901785714,31,0,0.945945946
MESOS-8932,Bug,2018-05-17T22:04:20.000+0000,bmahler,bmahler,52,0,0.925925926,60,2,0.928571429
MESOS-8924,Improvement,2018-05-16T18:43:31.000+0000,chhsia0,chhsia0,66,20,0.754901961,72,18,0.736363636
MESOS-8921,Bug,2018-05-16T05:23:24.000+0000,karya,karya,30,0,0.939393939,30,0,0.939393939
MESOS-8917,Bug,2018-05-15T11:51:51.000+0000,bbannier,bbannier,45,12,0.966666667,50,10,0.984375
MESOS-8911,Improvement,2018-05-14T16:28:21.000+0000,gilbert,gilbert,49,1,0.951612903,5,4,1
MESOS-8907,Task,2018-05-11T04:08:35.000+0000,jamespeach,jamespeach,4,0,1,0,0,0
MESOS-8906,Bug,2018-05-11T03:23:09.000+0000,chhsia0,chhsia0,65,19,0.754901961,71,17,0.736363636
MESOS-8892,Bug,2018-05-08T02:16:44.000+0000,greggomann,greggomann,72,5,0.941176471,49,9,0.984375
MESOS-8880,Improvement,2018-05-04T00:42:20.000+0000,mzhu,mzhu,2,2,0.884615385,7,2,0.869565217
MESOS-8876,Bug,2018-05-03T04:20:25.000+0000,qianzhang,qianzhang,16,7,0.875,29,7,0.846153846
MESOS-8874,Bug,2018-05-03T00:14:10.000+0000,chhsia0,chhsia0,64,20,0.754901961,48,9,0.984375
MESOS-8873,Bug,2018-05-03T00:08:48.000+0000,chhsia0,chhsia0,63,19,0.754901961,70,18,0.736363636
MESOS-8872,Bug,2018-05-03T00:04:53.000+0000,chhsia0,chhsia0,62,18,0.754901961,26,2,0.941176471
MESOS-8870,Bug,2018-05-02T14:34:09.000+0000,bbannier,bbannier,44,12,0.966666667,0,0,0
MESOS-8866,Bug,2018-05-02T10:31:11.000+0000,nfnt,nfnt,33,2,0.888888889,35,3,0.921052632
MESOS-8865,Bug,2018-05-02T08:58:28.000+0000,bbannier,bbannier,43,11,0.966666667,0,0,0
MESOS-8849,Task,2018-04-26T17:51:16.000+0000,vinodkone,vinodkone,109,5,0.901785714,59,3,0.928571429
MESOS-8848,Task,2018-04-26T17:49:05.000+0000,vinodkone,vinodkone,108,4,0.901785714,4,3,1
MESOS-8847,Task,2018-04-26T17:48:08.000+0000,vinodkone,vinodkone,107,3,0.901785714,58,2,0.928571429
MESOS-8845,Task,2018-04-26T17:44:50.000+0000,vinodkone,vinodkone,106,2,0.901785714,3,2,1
MESOS-8844,Task,2018-04-26T17:43:56.000+0000,vinodkone,vinodkone,105,1,0.901785714,2,1,1
MESOS-8843,Task,2018-04-26T17:43:15.000+0000,vinodkone,vinodkone,104,0,0.901785714,1,0,1
MESOS-8838,Bug,2018-04-25T11:15:34.000+0000,bbannier,bbannier,42,10,0.966666667,47,8,0.984375
MESOS-8837,Bug,2018-04-25T10:54:37.000+0000,bbannier,bbannier,41,9,0.966666667,46,7,0.984375
MESOS-8836,Bug,2018-04-25T10:53:02.000+0000,bbannier,bbannier,40,8,0.966666667,45,6,0.984375
MESOS-8835,Bug,2018-04-25T09:30:28.000+0000,bbannier,bbannier,39,7,0.966666667,44,5,0.984375
MESOS-8829,Improvement,2018-04-24T15:27:32.000+0000,abudnik,abudnik,9,6,0.85,17,8,0.9
MESOS-8825,Task,2018-04-24T01:59:00.000+0000,chhsia0,chhsia0,61,19,0.754901961,69,20,0.736363636
MESOS-8819,Task,2018-04-23T11:39:12.000+0000,bbannier,bbannier,38,6,0.966666667,43,5,0.984375
MESOS-8818,Bug,2018-04-23T09:07:47.000+0000,nfnt,nfnt,32,1,0.888888889,34,2,0.921052632
MESOS-8814,Task,2018-04-20T13:09:12.000+0000,qianzhang,qianzhang,15,6,0.875,28,8,0.846153846
MESOS-8813,Task,2018-04-20T13:04:15.000+0000,qianzhang,qianzhang,14,5,0.875,27,7,0.846153846
MESOS-8810,Task,2018-04-20T07:54:47.000+0000,qianzhang,qianzhang,13,4,0.875,26,6,0.846153846
MESOS-8798,Improvement,2018-04-17T17:28:37.000+0000,chhsia0,chhsia0,60,22,0.754901961,68,22,0.736363636
MESOS-8787,Bug,2018-04-14T01:02:51.000+0000,chhsia0,chhsia0,59,21,0.754901961,67,21,0.736363636
MESOS-8784,Bug,2018-04-12T23:41:29.000+0000,gkleiman,gkleiman,25,4,0.948717949,25,3,0.941176471
MESOS-8783,Bug,2018-04-12T23:39:35.000+0000,gkleiman,gkleiman,24,3,0.948717949,2,0,0.6
MESOS-8782,Bug,2018-04-12T23:37:09.000+0000,gkleiman,gkleiman,23,2,0.948717949,4,0,1
MESOS-8781,Bug,2018-04-12T23:34:33.000+0000,gkleiman,gkleiman,22,1,0.948717949,24,2,0.941176471
MESOS-8777,Task,2018-04-12T01:45:40.000+0000,chhsia0,chhsia0,58,20,0.754901961,66,20,0.736363636
MESOS-8774,Task,2018-04-11T11:35:13.000+0000,bbannier,bbannier,37,7,0.966666667,33,2,0.921052632
MESOS-8772,Improvement,2018-04-10T23:30:54.000+0000,gilbert,gilbert,48,0,0.951612903,57,1,0.952380952
MESOS-8770,Task,2018-04-10T15:01:39.000+0000,bbannier,bbannier,36,6,0.966666667,13,1,1
MESOS-8742,Bug,2018-03-27T23:26:18.000+0000,chhsia0,chhsia0,57,29,0.754901961,65,30,0.736363636
MESOS-8741,Bug,2018-03-27T20:30:39.000+0000,mzhu,mzhu,1,1,0.884615385,6,3,0.869565217
MESOS-8737,Task,2018-03-27T17:02:04.000+0000,abudnik,abudnik,8,5,0.85,16,7,0.9
MESOS-8736,Task,2018-03-27T16:34:57.000+0000,abudnik,abudnik,7,4,0.85,15,6,0.9
MESOS-8735,Task,2018-03-27T15:32:47.000+0000,bbannier,bbannier,35,7,0.966666667,42,11,0.984375
MESOS-8734,Task,2018-03-27T15:28:48.000+0000,abudnik,abudnik,6,3,0.85,14,5,0.9
MESOS-8733,Bug,2018-03-27T15:03:42.000+0000,bbannier,bbannier,34,6,0.966666667,41,10,0.984375
MESOS-8732,Task,2018-03-27T12:58:57.000+0000,abudnik,abudnik,5,2,0.85,13,4,0.9
MESOS-8728,Improvement,2018-03-23T16:28:29.000+0000,bennoe,bennoe,4,1,0.888888889,6,0,0.857142857
MESOS-8724,Bug,2018-03-22T15:45:33.000+0000,bennoe,bennoe,3,0,0.888888889,64,29,0.736363636
